,year,month,monthly_total(0.1mm)
0,1971,5,1116
1,1971,6,84
2,1971,7,738
3,1971,8,2227
4,1971,9,811
5,1971,10,205
6,1971,11,2152
7,1971,12,220
8,1972,1,452
9,1972,2,984
10,1972,3,1232
11,1972,4,248
12,1972,5,509
13,1972,6,1317
14,1972,7,438
15,1972,8,1462
16,1972,9,1015
17,1972,10,1579
18,1972,11,138
19,1972,12,136
20,1973,1,312
21,1973,2,717
22,1973,3,256
23,1973,4,830
24,1973,5,177
25,1973,6,627
26,1973,7,1432
27,1973,8,355
28,1973,9,1252
29,1973,10,560
30,1973,11,171
31,1973,12,1514
32,1974,1,185
33,1974,2,632
34,1974,3,316
35,1974,4,69
36,1974,5,48
37,1974,6,9
38,1974,7,512
39,1974,8,612
40,1974,9,445
41,1974,10,1365
42,1974,11,263
43,1974,12,422
44,1975,1,73
45,1975,2,106
46,1975,3,540
47,1975,4,1381
48,1975,5,377
49,1975,6,800
50,1975,7,2185
51,1975,8,1002
52,1975,9,1490
53,1975,10,345
54,1975,11,1860
55,1975,12,5053
56,1976,1,406
57,1976,2,512
58,1976,3,313
59,1976,4,2095
60,1976,5,196
61,1976,6,312
62,1976,7,332
63,1976,8,2915
64,1976,9,2232
65,1976,10,840
66,1976,11,126
67,1976,12,491
68,1977,1,296
69,1977,2,29
70,1977,3,225
71,1977,4,413
72,1977,5,461
73,1977,6,1612
74,1977,7,1288
75,1977,8,80
76,1977,9,343
77,1977,10,529
78,1977,11,1742
79,1977,12,2418
80,1978,1,684
81,1978,2,22
82,1978,3,224
83,1978,4,495
84,1978,5,267
85,1978,6,1293
86,1978,7,689
87,1978,8,1910
88,1978,9,558
89,1978,10,2531
90,1978,11,776
91,1978,12,241
92,1979,1,957
93,1979,2,171
94,1979,3,639
95,1979,4,539
96,1979,5,718
97,1979,6,1254
98,1979,7,642
99,1979,8,189
100,1979,9,1106
101,1979,10,4
102,1979,11,151
103,1979,12,1278
104,1980,1,343
105,1980,2,76
106,1980,3,383
107,1980,4,1719
108,1980,5,304
109,1980,6,1125
110,1980,7,270
111,1980,8,73
112,1980,9,262
113,1980,10,351
114,1980,11,695
115,1980,12,527
116,1981,1,1493
117,1981,2,907
118,1981,3,198
119,1981,4,1594
120,1981,5,833
121,1981,6,979
122,1981,7,1320
123,1981,8,599
124,1981,9,70
125,1981,10,743
126,1981,11,218
127,1981,12,217
128,1982,1,344
129,1982,2,22
130,1982,3,254
131,1982,4,1156
132,1982,5,142
133,1982,6,137
134,1982,7,1712
135,1982,8,1049
136,1982,9,555
137,1982,10,355
138,1982,11,379
139,1982,12,731
140,1983,1,862
141,1983,2,2604
142,1983,3,1589
143,1983,4,1130
144,1983,5,631
145,1983,6,1845
146,1983,7,1490
147,1983,8,1862
148,1983,9,1585
149,1983,10,931
150,1983,11,949
151,1983,12,300
152,1984,1,1152
153,1984,2,86
154,1984,3,905
155,1984,4,301
156,1984,5,2086
157,1984,6,420
158,1984,7,1106
159,1984,8,3185
160,1984,9,331
161,1984,10,118
162,1984,11,144
163,1984,12,895
164,1985,1,204
165,1985,2,118
166,1985,3,106
167,1985,4,319
168,1985,5,78
169,1985,6,740
170,1985,7,249
171,1985,8,356
172,1985,9,606
173,1985,10,589
174,1985,11,305
175,1985,12,89
176,1986,1,553
177,1986,2,249
178,1986,3,245
179,1986,4,1081
180,1986,5,809
181,1986,6,1240
182,1986,7,425
183,1986,8,573
184,1986,9,870
185,1986,10,233
186,1986,11,249
187,1986,12,959
188,1987,1,731
189,1987,2,85
190,1987,3,137
191,1987,4,280
192,1987,5,2368
193,1987,6,592
194,1987,7,1378
195,1987,8,649
196,1987,9,242
197,1987,10,1785
198,1987,11,1943
199,1987,12,338
200,1988,1,550
201,1988,2,964
202,1988,3,686
203,1988,4,192
204,1988,5,485
205,1988,6,1407
206,1988,7,825
207,1988,8,1428
208,1988,9,769
209,1988,10,602
210,1988,11,118
211,1988,12,1227
212,1989,1,563
213,1989,2,243
214,1989,3,393
215,1989,4,24
216,1989,5,651
217,1989,6,1236
218,1989,7,1995
219,1989,8,631
220,1989,9,2958
221,1989,10,1372
222,1989,11,761
223,1989,12,189
224,1990,1,109
225,1990,2,389
226,1990,3,492
227,1990,4,1249
228,1990,5,1058
229,1990,6,693
230,1990,7,191
231,1990,8,1630
232,1990,9,3535
233,1990,10,1107
234,1990,11,1076
235,1990,12,734
236,1991,1,528
237,1991,2,324
238,1991,3,949
239,1991,4,295
240,1991,5,1297
241,1991,6,228
242,1991,7,353
243,1991,8,1171
244,1991,9,642
245,1991,10,2196
246,1991,11,774
247,1991,12,492
248,1992,1,1464
249,1992,2,177
250,1992,3,1771
251,1992,4,361
252,1992,5,712
253,1992,6,1257
254,1992,7,2
255,1992,8,217
256,1992,9,1214
257,1992,10,2004
258,1992,11,845
259,1992,12,123
260,1993,1,441
261,1993,2,3734
262,1993,3,636
263,1993,4,967
264,1993,5,392
265,1993,6,306
266,1993,7,916
267,1993,8,1974
268,1993,9,1708
269,1993,10,1454
270,1993,11,379
271,1993,12,671
272,1994,1,311
273,1994,2,129
274,1994,3,167
275,1994,4,43
276,1994,5,652
277,1994,6,1250
278,1994,7,616
279,1994,8,1779
280,1994,9,1299
281,1994,10,1265
282,1994,11,369
283,1994,12,256
284,1995,1,86
285,1995,2,155
286,1995,3,234
287,1995,4,321
288,1995,5,55
289,1995,6,1268
290,1995,7,621
291,1995,8,853
292,1995,9,1579
293,1995,10,1174
294,1995,11,2428
295,1995,12,262
296,1996,1,2487
297,1996,2,1561
298,1996,3,505
299,1996,4,372
300,1996,5,518
301,1996,6,914
302,1996,7,997
303,1996,8,1812
304,1996,9,927
305,1996,10,815
306,1996,11,1196
307,1996,12,796
308,1997,1,1192
309,1997,2,231
310,1997,3,251
311,1997,4,1709
312,1997,5,992
313,1997,6,1455
314,1997,7,1129
315,1997,8,382
316,1997,9,3304
317,1997,10,1867
318,1997,11,1076
319,1997,12,805
320,1998,1,204
321,1998,2,915
322,1998,3,1702
323,1998,4,389
324,1998,5,698
325,1998,6,84
326,1998,7,784
327,1998,8,1345
328,1998,9,175
329,1998,10,417
330,1998,11,448
331,1998,12,319
332,1999,1,316
333,1999,2,1057
334,1999,3,331
335,1999,4,2207
336,1999,5,175
337,1999,6,1668
338,1999,7,1348
339,1999,8,1588
340,1999,9,211
341,1999,10,554
342,1999,11,1697
343,1999,12,358
344,2000,1,1298
345,2000,2,100
346,2000,3,839
347,2000,4,886
348,2000,5,485
349,2000,6,37
350,2000,7,663
351,2000,8,739
352,2000,9,882
353,2000,10,580
354,2000,11,385
355,2000,12,59
356,2001,1,406
357,2001,2,397
358,2001,3,1
359,2001,4,315
360,2001,5,330
361,2001,6,843
362,2001,7,379
363,2001,8,769
364,2001,9,2111
365,2001,10,696
366,2001,11,1946
367,2001,12,396
368,2002,1,482
369,2002,2,648
370,2002,3,1570
371,2002,4,135
372,2002,5,82
373,2002,6,575
374,2002,7,1118
375,2002,8,554
376,2002,9,725
377,2002,10,183
378,2002,11,24
379,2002,12,448
380,2003,1,758
381,2003,2,101
382,2003,3,544
383,2003,4,431
384,2003,5,222
385,2003,6,722
386,2003,7,784
387,2003,8,1342
388,2003,9,1385
389,2003,10,2646
390,2003,11,207
391,2003,12,1065
392,2004,1,45
393,2004,2,1365
394,2004,3,781
395,2004,4,822
396,2004,5,288
397,2004,6,681
398,2004,7,2755
399,2004,8,472
400,2004,9,453
401,2004,10,294
402,2004,11,1151
403,2004,12,903
404,2005,1,1279
405,2005,2,1861
406,2005,3,535
407,2005,4,636
408,2005,5,1328
409,2005,6,724
410,2005,7,1024
411,2005,8,761
412,2005,9,618
413,2005,10,315
414,2005,11,994
415,2005,12,2822
416,2006,1,289
417,2006,2,294
418,2006,3,137
419,2006,4,930
420,2006,5,134
421,2006,6,1681
422,2006,7,291
423,2006,8,1809
424,2006,9,869
425,2006,10,139
426,2006,11,442
427,2006,12,214
428,2007,1,625
429,2007,2,613
430,2007,3,202
431,2007,4,398
432,2007,5,146
433,2007,6,245
434,2007,7,752
435,2007,8,1464
436,2007,9,1474
437,2007,10,155
438,2007,11,1942
439,2007,12,107
440,2008,1,238
441,2008,2,626
442,2008,3,260
443,2008,4,176
444,2008,5,352
445,2008,6,3
446,2008,7,676
447,2008,8,408
448,2008,9,1293
449,2008,10,1151
450,2008,11,4298
